"","x"
"640",30
"641",19
"642",15
"643",31
"644",21
"645",8
"646",5
"647",38
"648",12
"649",28
"650",0
"651",37
"652",28
"653",25
"654",9
"655",35
"656",25
"657",8
"658",20
"659",0
"660",15
"661",18
"662",9
"663",26
"664",0
"665",20
"666",5
"667",1
"668",11
"669",20
"670",12
"671",40
"672",9
"673",24
"674",31
"675",43
"676",10
"677",9
"678",14
"679",26
"680",11
"681",45
"682",15
"683",19
"684",11
"685",31
"686",15
"687",18
"688",0
"689",26
"690",11
"691",42
"692",27
"693",17
"694",23
"695",43
"696",12
"697",16
"698",41
"699",17
"700",24
"701",24
"702",43
"703",19
"704",17
"705",11
"706",18
"707",0
"708",25
"709",26
"710",41
"711",40
"712",22
"713",41
"714",35
"715",24
"716",24
"717",21
"718",47
"719",15
"720",1
"721",34
"722",29
"723",22
"724",16
"725",55
"726",24
"727",0
"728",0
"729",42
"730",9
"731",9
"732",19
"733",10
"734",34
"735",23
"736",8
"737",8
"738",16
"739",13
"740",9
"741",25
"742",73
"743",16
"744",18
"745",32
"746",15
"747",30
"748",25
"749",11
"750",9
"751",23
"752",26
"753",5
"754",15
"755",17
"756",11
"757",44
"758",12
"759",51
"760",12
"761",17
"762",11
"763",14
"764",27
"765",0
"766",14
"767",8
"768",22
"769",27
"770",8
"771",19
"772",39
"773",27
"774",9
"775",29
"776",30
"777",5
"778",32
"779",53
"780",7
"781",0
"782",23
"783",17
"784",47
"785",7
"786",9
"787",7
"788",15
"789",28
"790",53
"791",0
"792",9
"793",42
"794",31
"795",18
"796",22
"797",26
"798",11
"799",41
"800",45
"801",55
"802",22
"803",20
"804",11
"805",23
"806",51
"807",18
"808",64
"809",13
"810",54
"811",0
"812",10
"813",21
"814",13
"815",17
"816",17
"817",87
"818",30
"819",42
"820",40
"821",26
"822",0
"823",29
"824",49
"825",0
"826",20
"827",34
"828",23
"829",14
"830",21
"831",0
"832",20
"833",16
"834",19
"835",29
"836",20
"837",40
"838",7
"839",21
"840",28
"841",17
"842",22
"843",18
"844",14
"845",35
"846",22
"847",15
"848",15
"849",2
"850",28
"851",17
"852",31
"853",6
"854",10
"855",35
"856",23
"857",0
"858",40
"859",22
"860",22
"861",8
"862",20
"863",16
"864",16
"865",11
"866",21
"867",8
"868",13
"869",12
"870",32
"871",48
"872",8
"873",28
"874",27
"875",55
"876",27
"877",22
"878",30
"879",34
"880",24
"881",15
"882",12
"883",7
"884",30
"885",15
"886",32
"887",27
"888",28
"889",23
"890",27
"891",6
"892",9
"893",9
"894",25
"895",19
"896",44
"897",21
"898",34
"899",28
"900",33
"901",17
"902",45
"903",20
"904",0
"905",15
"906",22
"907",44
"908",13
"909",22
"910",24
"911",11
"912",13
"913",13
"914",0
"915",14
"916",39
"917",30
"918",17
"919",12
"920",17
"921",25
"922",34
"923",9
"924",20
"925",9
"926",11
"927",14
"928",33
"929",15
"930",49
"931",22
"932",12
"933",15
"934",19
"935",15
"936",11
"937",10
"938",14
"939",14
"940",1
"941",16
"942",10
"943",28
"944",11
"945",24
"946",36
"947",39
"948",15
"949",56
"950",15
"951",16
"952",12
"953",24
"954",16
"955",15
"956",31
"957",59
"958",1
"959",35
"960",16
"961",14
"962",13
"963",10
"964",15
"965",16
"966",16
"967",16
"968",87
"969",15
"970",11
"971",18
"972",29
"973",38
"974",12
"975",67
"976",21
"977",14
"978",20
"979",18
"980",22
"981",33
"982",14
"983",1
"984",0
"985",20
"986",7
"987",42
"988",24
"989",15
"990",11
"991",16
"992",59
"993",27
"994",28
"995",36
"996",16
"997",32
"998",22
"999",31
"1000",29
"1001",9
"1002",19
"1003",19
"1004",0
"1005",9
"1006",13
"1007",23
"1008",17
"1009",12
"1010",13
"1011",10
"1012",29
"1013",29
"1014",46
"1015",9
"1016",55
"1017",20
"1018",42
"1019",55
"1020",16
"1021",15
"1022",23
"1023",11
"1024",32
"1025",0
"1026",24
"1027",26
"1028",15
"1029",5
"1030",11
"1031",11
"1032",52
"1033",23
"1034",23
"1035",24
"1036",26
"1037",17
"1038",24
"1039",19
"1040",19
"1041",11
"1042",48
"1043",46
"1044",46
"1045",27
"1046",18
"1047",16
"1048",37
"1049",11
"1050",30
"1051",11
"1052",9
"1053",29
"1054",15
"1055",31
"1056",37
"1057",18
