"","x"
"640",15
"641",15
"642",28
"643",17
"644",31
"645",35
"646",23
"647",40
"648",22
"649",22
"650",20
"651",16
"652",16
"653",21
"654",32
"655",48
"656",28
"657",27
"658",55
"659",27
"660",22
"661",30
"662",34
"663",24
"664",15
"665",30
"666",15
"667",32
"668",27
"669",28
"670",23
"671",27
"672",25
"673",19
"674",44
"675",21
"676",34
"677",28
"678",33
"679",17
"680",45
"681",20
"682",15
"683",22
"684",44
"685",22
"686",24
"687",39
"688",30
"689",17
"690",17
"691",25
"692",34
"693",20
"694",33
"695",15
"696",49
"697",22
"698",15
"699",19
"700",15
"701",16
"702",28
"703",24
"704",36
"705",39
"706",15
"707",56
"708",15
"709",16
"710",24
"711",16
"712",15
"713",31
"714",59
"715",35
"716",16
"717",15
"718",16
"719",16
"720",16
"721",87
"722",15
"723",18
"724",29
"725",38
"726",67
"727",21
"728",20
"729",18
"730",22
"731",33
"732",20
"733",42
"734",24
"735",15
"736",16
"737",59
"738",27
"739",28
"740",36
"741",16
"742",32
"743",22
"744",31
"745",29
"746",19
"747",19
"748",23
"749",17
"750",29
"751",29
"752",46
"753",55
"754",20
"755",42
"756",55
"757",16
"758",15
"759",23
"760",32
"761",24
"762",26
"763",15
"764",52
"765",23
"766",23
"767",24
"768",26
"769",17
"770",24
"771",19
"772",19
"773",48
"774",46
"775",46
"776",27
"777",18
"778",16
"779",37
"780",30
"781",29
"782",15
"783",31
"784",37
"785",18
"786",22
"787",16
"788",122
"789",21
"790",23
"791",17
"792",49
"793",17
"794",23
"795",34
"796",29
"797",20
"798",22
"799",23
"800",38
"801",22
"802",32
"803",58
"804",22
"805",19
"806",26
"807",31
"808",17
"809",24
"810",56
"811",18
"812",15
"813",20
"814",29
"815",38
"816",31
"817",33
"818",21
"819",21
"820",34
"821",39
"822",27
"823",82
"824",19
"825",19
"826",19
"827",27
"828",55
"829",36
"830",21
"831",28
"832",20
"833",15
"834",25
"835",23
"836",15
"837",26
"838",15
"839",20
"840",16
"841",60
"842",34
"843",23
"844",21
"845",31
"846",48
"847",46
"848",44
"849",49
"850",37
"851",15
"852",18
"853",31
"854",35
"855",69
"856",46
"857",51
"858",15
"859",17
"860",70
"861",142
"862",31
"863",111
"864",16
"865",23
"866",36
"867",35
"868",20
"869",20
"870",17
"871",30
"872",20
"873",29
"874",17
"875",32
"876",24
"877",24
"878",24
"879",50
"880",19
"881",17
"882",24
"883",37
"884",20
"885",28
"886",20
"887",26
"888",65
"889",30
"890",29
"891",18
"892",15
"893",32
"894",15
"895",29
"896",25
"897",44
"898",93
"899",25
"900",27
"901",34
"902",18
"903",17
"904",17
"905",62
"906",18
"907",21
"908",25
"909",19
"910",33
"911",17
"912",41
"913",31
"914",18
"915",36
"916",42
"917",16
"918",35
"919",15
"920",16
"921",18
"922",17
"923",106
"924",28
"925",23
"926",31
"927",42
"928",45
"929",51
"930",15
"931",20
"932",30
"933",22
"934",30
"935",37
"936",22
"937",17
"938",28
"939",45
"940",36
"941",22
"942",46
"943",39
"944",34
"945",29
"946",107
"947",15
"948",20
"949",30
"950",30
"951",29
"952",26
"953",54
"954",50
"955",42
"956",25
"957",32
"958",60
"959",38
"960",24
"961",30
"962",31
"963",18
"964",18
"965",20
"966",23
"967",33
"968",65
"969",29
"970",28
"971",47
"972",23
"973",53
"974",17
"975",24
"976",85
"977",26
"978",19
"979",17
"980",19
"981",18
"982",36
"983",76
"984",26
"985",33
"986",20
"987",26
"988",43
"989",19
"990",81
"991",18
"992",41
"993",25
"994",48
"995",65
"996",18
"997",20
"998",25
"999",20
"1000",15
"1001",15
"1002",18
"1003",32
"1004",27
"1005",46
"1006",39
"1007",23
"1008",24
"1009",19
"1010",27
"1011",24
"1012",23
"1013",24
"1014",21
"1015",46
"1016",26
"1017",56
"1018",46
"1019",74
"1020",28
"1021",47
"1022",29
"1023",22
"1024",22
"1025",18
"1026",19
"1027",26
"1028",31
"1029",23
"1030",17
"1031",25
"1032",50
"1033",32
"1034",18
"1035",24
"1036",26
"1037",27
"1038",46
"1039",53
"1040",25
"1041",78
"1042",15
"1043",40
"1044",16
"1045",15
"1046",41
"1047",37
"1048",24
"1049",26
"1050",33
"1051",19
"1052",16
"1053",45
"1054",17
"1055",21
"1056",45
"1057",37
"1058",24
"1059",45
"1060",22
"1061",15
"1062",46
"1063",32
"1064",31
"1065",39
"1066",18
"1067",35
"1068",45
"1069",55
"1070",38
"1071",32
"1072",25
"1073",21
"1074",18
"1075",18
"1076",30
"1077",32
"1078",34
"1079",79
"1080",24
"1081",38
"1082",30
"1083",28
"1084",16
"1085",24
"1086",17
"1087",38
"1088",20
"1089",24
"1090",23
"1091",49
"1092",38
"1093",31
"1094",36
"1095",50
